NAME,POPOS_ADDRESS,HOURS,TYPE,LANDSCAPING,SEATING_No,FOOD_SERVICE,Art,RESTROOMS,Accessibility,LOCATION,YEAR,SOURCE,Food,Seating,Description,Seating_and_Tables,Hours_Type,Subject_To_Downtown_PLN,Signage,Amenities,BLOCK_NUM,LOT_NUM,PARCEL_NUM,Restroom,Indoor,Special_Amenities,Map ID,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_jx4q_fizf,:@computed_region_bh8s_q3mv,Neighborhoods
Commercial Street (235 Pine Entitlement),235 Pine St,Open at all times,Snippet and lunchtime conversion. Commission was satisfied that it met the guidelines.,"5 street trees, 14 planters",8 public seats (bench and planter seats) and many temporary/restaurant seats,Yes,No,No,Direct,Commercial street between montgomery and sansome,,,Y,Y,Linear park improvements along Commercial Street feature various types of trees and concrete linear seating. These spaces are served by many cafés and restaurants along Commercial Street. Additional seating is provided during lunch hours.,,Unknown,Yes,None,,0267,015,0267015,,,,15,POINT (-122.40228 37.79439),108,6,3,6,10,3,1,28860,108
555/557 Market St,555/557 Market St,Open at all times,Urban Garden,"Diverse plants, grasses, and water feature.",No Seating,No,No,Yes,Direct,,1965,,,,"Extensive landscaping combined with water features signify this space between two high rises. Seating,however, is only availabe to employees.",N,Open At All Times,No,None,,3708,174,3708174,true,,,66,POINT (-122.4001579 37.78975722),108,6,10,8,9,12,2,28855,108
Millenium Tower Plaza,301 Mission St,"8AM - 6PM, M-F","Atrium, Plaza","4 trees with lights, 10 medium plants",41 movable chairs and 24 linear seats,Yes,Yes,Yes. No restriction or lock.,Indirect for Atrium. Unknown for Plaza,Ground level.,2005,,Y,Y,"This atrium features extensive artwork and is served by a bar/restaurant on the premises. It has various types of seating with tables, and high windows overhead.",,Open Business Hours,Yes,"yes.  Small, non-compliant plaque outside door",,3719,020,3719020,true,true,,21,POINT (-122.39656 37.79052),32,1,10,8,9,12,2,28855,32
Crocker Galleria,165 Sutter St,"6AM-7PM, M-SAT",Sun Terrace,"8 large planter with trees, shrubbery around edge planters.","24 benches measuring 7'8""",In building below.,No,Yes,Very Indirect,"Third floor of shopping center, down dark hallway.",1982,,Y,Y,,,Open Business Hours,No,"No. Sign in interior atrium only says ""roof garden""",,0292,002,0292002,true,,,47,POINT (-122.4028214 37.78927548),19,6,3,8,10,4,1,28854,19
50 California St,50 California St,Open at all times,Snippet,"Good tree cover and plantings, define space and provide shade","14 movable chairs, 117 linear ft. of bench, another 30' on other side of building",Starbucks,Yes,No,Direct,,1970,,Y,Y,Plaza and wrap around walkway with seating along planters.,,Open At All Times,No,None,,0235,022,0235022,,,,58,POINT (-122.3975305 37.79380746),108,6,3,8,10,4,1,28860,108
600 California St,600 California St,Open at all times,Snippet,"Flowers, succulents, shrubbery.","37 seats, 28 are movable.",Yes café,Yes,No,Direct,"Northwest side of building, up the stairs from California Street beyond an artistic gateway.",1990,,Y,Y,"A shady open space area with art in the form of sculptures. This snippet found on the northwest side of the building, up the stairs. It adjoins the open space of the adjacent building.",,Open At All Times,Yes,yes,,0241,027,0241027,true,,,30,POINT (-122.40487 37.79277),104,6,3,6,10,3,1,28857,104
77 Beale St,77 Beale St,Open at all times,Plaza,"20+ planter trees, open planters, waterfall feature","200+ linear feet of planter seating, varying heights",No,No,No,Direct,,1970,,,Y,Plaza with high planters that provide some landscaping but no seating.,,Open At All Times,No,None,,3711,013,3711013,,,,62,POINT (-122.3962255 37.79173693),108,6,10,8,9,12,2,28855,108
Foundry Square NE,400 Howard St,"8AM - 6PM, M-F",Plaza,8 trees,"20 linear seats, 24 movable",Yes,Yes,No,Direct,Corner of 1st and Howard,2008,,Y,Y,"This is one of three plazas fronting the intersection of 1st and Howard, forming Foundary Square. It features art sculptures and seating near a cafe.",,Open At All Times,Yes,Yes (2),,3720,008,3720008,,,,2,POINT (-122.396 37.7888),32,1,10,8,9,12,2,28855,32
101 California St,101 California Street,Open at all times,Plaza,Beautifl terraced seating with abundant plantings,"~1000 linear ft. of seating on terraced steps, many cushions available",Yes,No,No,Direct,Street level plaza at California and Davis Streets.,,,Y,Y,,,Open At All Times,No,None,,0263,011,0263011,,,,75,POINT (-122.398 37.793249),108,6,3,8,10,4,1,28860,108
Marriott Courtyard - A (Starbucks),299 2nd St,Open at all times,Snippet,"Street trees, planters with bushes, flowers",6 linear seats on two benches along sidewalk,café across street in hotel lobby,No,Yes,Direct,Bench next to entrance setback 15 feet on 2nd Street.  Per Thayer:  Benches on sidewalk setback on Folsom.,2001,,Y,Y,"Thayer referenced something that is not part of the open space requirement, this is pedestrian improvement requirement.  Per Thayer:  This open space has benches and landscaping along the sidewalk on Folsom at street level.",,Open Business Hours,Yes,yes one next to door of starbucks. Somewhat removed from the street.,,3736,029,3736029,true,,,7,POINT (-122.39684 37.78577),32,1,10,8,9,6,2,28855,32
1 California St,1 California St,Open at all times,Snippet,"One tree, minimal.",12 tables with 46 non-movable chairs. 38 linear ft. seating,2 cafes,No,No,Direct,,1970,,Y,Y,Wrap around plaza area with seating near food services.,,Open At All Times,No,None,,0264,004,0264004,,,,61,POINT (-122.3972841 37.79335343),108,6,3,8,10,4,1,28860,108
150 California St,150 California St,"9AM-6PM, M-F",Sun Terrace,"Abundant purple plantings, but they take up majority of space. Some tall skinny trees, which provide minimal shade of space definition. Art installation is engaging.",9 tables with 36 movable chairs. ~82 ledge seats,No,Yes,No,Indirect,6th Floor,2000,,,Y,"This view terrace is located six stories above the street level. There is a large sculpture, long periods of sunlight, and several types of seating. There are extensive views of the surrounding area.",Y,Open Business Hours,Yes,one at the entrance with directions,,0236,019,0236019,true,,,29,POINT (-122.39864 37.79361),108,6,3,8,10,4,1,28860,108
525 Market St,525 Market St,Open at all times,Urban Garden,"Plant wall, water feature, abundant street trees, some turf on terraced steps.","168' platform/box seating, 164' terraced steps, ~80 sq. ft. of turf, 11 tables with 44 movable chairs",Yes,Yes,No,Direct,"Located along Market Street, at the building's side just southwest of main entrance.",1973,,Y,Y,"This is a two level open space, with granite wall water fountains at the sidewalk level near Market Street and a view to the landscaped space on the second level.",,Open At All Times,No,None,,3708,056,3708056,,,,39,POINT (-122.3997369 37.79034281),108,6,10,8,9,12,2,28855,108
222 2nd St,222 2nd St,"8AM - 6PM, M-F",Greenhouse,"No plants, but warm wood walls, striking art.","63 movable chairs, 15 tables, 300+ linear ft. of seating","Yes, cafe",Yes,Yes,Direct,Ground floor lobby,2016,,Y,Y,"An enclosed open space, with operable floor to ceiling windows and doors; located within the street-level lobby.",Y,Open Business Hours,Yes,yes,Wifi,3735,063,3735063,true,true,true,71,POINT (-122.39823 37.78638),32,1,10,8,9,6,2,28855,32
77 Van Ness Ave,77 Van Ness Ave,"8AM - 6PM, M-F",Indoor Park,None,3 tables with 9 movable chairs,No,Yes,Yes,Direct,Inside the lobby,2002,,,Y,This space is in the front lobby of 77 Van Ness. It has tables and chairs and features a sculpture.,Y,Open Business Hours,Yes,"One sign on street, facing 90 degrees away from street. Removed in evenings in early mornings",,0834,032,0834032,true,true,,22,POINT (-122.41971 37.77613),21,4,11,9,11,7,6,28852,21
49 Stevenson St,49 Stevenson St,Open at all times,Pedestrian Walkway,"No plants, some interesting paving","20 chairs, taken inside before 5pm at time of last site visit.",Yes,Yes,Restaurant,Direct,In front of building on Stevenson Street and through a pedestrianized alley to Jessie Street,1984,,Y,Y,This pedestrian walkway has small fountains and an art sculpture are featured in this space. Plaza seating is available for patrons of Yank Sing restaurant only.,,Open At All Times,No,None,,3708,040,3708040,,,,34,POINT (-122.39938 37.78993),108,6,10,8,9,12,2,28855,108
101 2nd St,101 2nd St,"8AM - 6PM, M-F",Greenhouse,4 large trees and plants,"25 linear seats on bench/  ledge. 23 tables, 69 movable chairs",Café,Yes,"Yes, through main lobby at reception desk (ID required)",Indirect,Ground/Mezz level at 2nd/Mission,2000,,Y,Y,"This greenhouse features large trees, windows, and art. It has two levels of space and is served by a cafe.",Y,Open Business Hours,Yes,"2, one at each street entrance",,3721,089,3721089,true,true,,10,POINT (-122.39953 37.78803),32,1,10,8,9,12,2,28855,32
221 Main St,221 Main St,Open at all times,Plaza,Succulents and grasses,24' of linear seats.,No,No,No,Direct,,1974,,,Y,"An open plaza with some seating, landscaping and planters.",,Open At All Times,No,None,,3740,034,3740034,true,,,54,POINT (-122.3925458 37.79015362),108,1,10,8,9,6,2,28855,108
250 Howard,250 Howard,,Urban Park,,,,,,,,,,,,,,,Yes,,,,,,,,,78,POINT (-122.394009 37.790744),108,1,10,8,9,12,2,28855,108
100 California St,100 California St,Open at all times,Plaza,Pots of flowers,"16 movable chairs, 4 tables, 52' of bench seating",Yes,No,No,Direct,Ground level exterior open space in the form of plazas and walkways,,,Y,Y,"This is a large plaza with planter boxes, along with smaller spaces along Davis Street. There is also space for food service to serve the plaza in the future.",,Open At All Times,Yes,None,,0236,017,0236017,,,,14,POINT (-122.39797 37.79358),108,6,3,8,10,4,1,28860,108
Citygroup Center,1 Sansome St,,Greenhouse,,Ample seating at tables with movable chairs.,"Yes, café/deli",,Yes,,Ground floor,1983,,,,"Built with marble, and covered with glass, this greenhouse provides ample seating and tables.",,Open Business Hours,No,,,,,,,,,42,POINT (-122.4007979 37.79047982),108,6,3,8,10,4,1,28854,108
Foundry Square SW (outdoor),505-525 Howard St (200 1st St),"8AM - 6PM, M-F",Plaza,8 trees,"25 movable seats, 6 tables, 47 linear bench seats",Yes- Café,No,Yes,Direct,Near main building entrance facing the outdoor POPOS.,,,Y,Y,,,Open Business Hours,Yes,Yes (2),,3736,114,3736114,true,,,74,POINT (-122.3961 37.7882),32,1,10,8,9,6,2,28855,32
Foundry Square SE,405 Howard St,"8AM - 6PM, M-F",Plaza,8 trees,"44 movable chairs, 45 linear seats on planter boxes sides.",Yes,Yes,No,Direct,Corner of 1st and Howard,2005,,Y,Y,"This is one of three plazas on the 1st and Howard intersection, forming Foundry Square. This space features a sculpture, landscape, and seating near food services.",,Open Business Hours,Yes,"Yes (1, far away from space)",,3737,030,3737030,true,,,3,POINT (-122.39566 37.78852),32,1,10,8,9,6,2,28855,32
200 California St,200 California St,Open at all times,Public Sitting Area in Pedestrian Walkway,planter box. Good diversity and volume of plants,24 linear,No,Yes,No,Direct,"In front of building, sidewalk widening",1990,,,Y,"This pedestrian seating area is on a widened sidewalk. Pedestrians may sit on linear seating that forms a planter box. There is a small, public sculpture next to the planter box.",,Open At All Times,Yes,yes,,0237,006,0237006,,,,33,POINT (-122.39889 37.79347),108,6,3,8,10,4,1,28860,108
Marathon Plaza,303 Second St,Open at all times,Urban Garden,"Real grass lawns, some planters, large water feature","33 tables with 66 movable chairs, >200' bench seating",Yes,Yes,Yes,Direct,In front of building facing Second Street,1982,,Y,Y,"Large, triangular urban garden facing Second Street with a water feature, ample seating, and lush landscaping. Deli and restaurant open to the park provide food and additional seating.",,Open At All Times,No,None,,3749,062,3749062,true,,,35,POINT (-122.3957 37.78522),30,1,10,8,9,6,2,28856,30
201 Spear St,201 Spear St,Open at all times,Urban Garden,,,,,,,,1982,,,,Plaza with seating along planters.,,Open At All Times,No,None,,,,,,,,46,POINT (-122.3916275 37.79094499),108,1,10,8,9,6,2,28855,108
50 Beale St,50 Beale St,Open at all times,Plaza,"30+ trees, large open planters, attracts birds",40 bench seats; 100+ linear feet of planter seating,No,No,No,Less direct,,1968,,,Y,Large well landscaped plaza with many seating options.,,Open At All Times,No,None,,3710,018,3710018,,,,65,POINT (-122.3969164 37.79160342),108,6,10,8,9,12,2,28855,108
55 Second St - A,55 Second St,"8AM - 6PM, M-F",Indoor Park,Increase in potted plant number and variety,62 movable chairs and 27 bench seats,No,Yes,Located in hallway between lobby and indoor park,13080,"Located inside the historic building, up a set of 3-4 steps. Can be accessed through the main lobby (walk past the elevator bay) and through entrances from Jessie and Stevenson Streets.",2002,,,Y,"This large, indoor ""park"" located inside the historia building has a wooden floor, tables with chairs, and large, comfortable leather chairs on a carpeted section near the large window looking out on Stevenson Street.",,Open Business Hours,Yes,"Yes, at all three building entrances","Games: giant Connect4, ping pong, cornhole",3708,096,3708096,true,true,true,18,POINT (-122.400283 37.789),108,6,10,8,9,12,2,28855,108
345 California St - A,345 California St,Open at all times,Plaza,Planters with a few trees,"14 chairs, 5 tables, 50' linear seating",Sandwich shop and café,No,No,Direct,Plaza in front of building main entrance.,1986,,Y,Y,"This open space is provided in the form of a large plaza fronting California Street. Additionally, two snippets can be found on the west and east sides of the building, connected by an interior walkway. The plaza and east snippet are served by restaurants",,Open At All Times,Yes,None,,0261,018,0261018,,,,23,POINT (-122.40046 37.79306),108,6,3,8,10,4,1,28854,108
25 Jessie St,25 Jessie St,Open at all times,Pedestrian Walkways,"Great variety of plants, water feature, elevated planters with tall trees draw eye up",Ledges around the water feature (>100 linear feet),"None directly available, but some in adjacent alley",No,Would have had to go through security,Slightly indirect (one side fenced),,1983,,,Y,This urban garden include a water feature combined with a tall art piece. Seating available on the ledeges of raised water feature.,Y,Open At All Times,No,None,,3708,097,3708097,,,,45,POINT (-122.398796 37.78961221),108,6,10,8,9,12,2,28855,108
Golden Gate University,536 Mission St,Open at all times,Snippet,No,200+ ft. of linear bench,No,No,Yes,Direct,Along Mission Street.,1972,,,Y,Concrete seating streches along the passage that connects the recessed entrance of Golden Gate University to the sidewalk on Mission Street.,N,Open At All Times,No,None,,3708,098,3708098,true,,,60,POINT (-122.3986814 37.78915139),108,6,10,8,9,12,2,28855,108
123 Mission St,123 Mission St,Open at all times,Urban Garden,trees and waterfall,122 linear seats,Yes,Yes,No,Direct,plaza in front of the building,1986,,Y,Y,This large plaza features extensive landscaping and art. Seperate seating areas with seating characterize the area.,,Open At All Times,Yes,None,,3717,023,3717023,true,,,28,POINT (-122.39423 37.79219),108,1,10,8,9,12,2,28855,108
350 Mission St,350 Mission St,"8AM-5PM, M-F","Interior open space at ground level, specific type not specified in motion (Greenhouse?)",fake trees and grass indoors,35 linear bench seats + amphitheater seating (original estimate at 85 seats total),No,No,No,Direct,Lobby entrance,,,,Y,"An enclosed open space, with operable sliding glass doors that open up to street frontage; located within the street-level lobby.",,Open Business Hous,Yes,"Yes, outside at front door.",Amphitheater,3710,017,3710017,,true,true,72,POINT (-122.396685 37.791),108,6,10,8,9,12,2,28855,108
Empire Park,642 Commercial St,Daylight Hours.,Urban Park,Water fountain and lots of plants and shade. Diversity of trees.,"15 chairs w/ tables, 8 bench seats in the park, 8 along commercial.","There is food service serving the commercial street POPOS, but not directly serving that of Empire park.",No,No,Direct. Gate at sidewalk open during daylight hours.,Along commercial street and at 642 commercial st,1988,,Y,Y,"Empire park, located at 642 Commercial, is an urban garden that features a water fountain and landscaping. Along Commercial in front of Empire park, there are many widened sidewalk spaces which have benches and landscaping.",Y,Open Business Hours,Yes,"yes.  Sign is not in compliance, too small, unclear hours, outdated logo.",,0227,031,0227031,,,,13,POINT (-122.40384 37.79428),104,6,3,6,10,3,1,28860,104
211 Main St,211 Main St,Open at all times,Plaza,Shrubs and some trees,50' linear seats.,No,No,No,Direct,,1973,,,Y,Open plaza with two benches and a gated children's play area through to Spear Street.,,Open At All Times,No,None,,3740,033,3740033,true,,,55,POINT (-122.3928858 37.7903972),108,1,10,8,9,6,2,28855,108
444 Market  St,444 Market St,Open at all times,Plaza,Trees create space definition but space is mostly hard paving,"8 movable chairs, 4 tables, 7 linear seats attached to 4 tables, ~50 ft. linear seating on statue ledge",Yes,Yes,No,Diect,,1980,,Y,Y,Plaza with no seating.,,Open At All Times,No,None,Solar charging station,0266,009,0266009,,,true,50,POINT (-122.3986815 37.79167436),108,6,3,8,10,4,1,28860,108
181 Fremont,181 Fremont,8AM-6PM M-F,Indoor Park,"2 trees along wall, interesting paving","~20 movable seats around 6 tables. Some are high stools and tables, some are lounge seats around coffee tables.",Andytown Coffee,Sculpture outside.,Yes,Through lobby to 7th floor of building or from Salesforce Park.,,,,Y,Y,,,,Yes,"Yes. Code compliant signs on street, in elevator, in space.",,3719,450,3719450,true,true,,77,POINT (-122.395367 37.789785),32,1,10,8,9,12,2,28855,32
Marriott Courtyard - B (Starbucks),299 2nd St,8:00am - 5:00pm,Snippet,"Street trees, planters with bushes, flowers",15 chairs,Café,No,None,Direct,Snippet below grade with stair entry on corner of 2nd & Folsom and wheelchair entry on Folsom.,2001,,Y,Y,"This open space has a small sitting space below street level on the corner of Folsom and Second, served by a café.",,Open Business Hours,Yes,yes one next to door of starbucks. Somewhat removed from the street.,,3736,029,3736029,,,,8,POINT (-122.39668 37.78576),32,1,10,8,9,6,2,28855,32
14 Fremont St,14 Fremont St,Open at all times,Pedestrian Walkways,~20 small succulent planter boxes,"13 large tables, 27 small tables, 16 bench seats, 106 movable chairs",Yes,No,Yes,Direct,,1983,,Y,Y,This open space is a through walkway between Fremont and 1rst Street that opens into an interior plaza.  A farmers market was operating on location.,,Open At All Times,No,None,,3709,020,3709020,true,,,40,POINT (-122.397889 37.79076641),108,6,10,8,9,12,2,28855,108
650 California St,650 California St,Open at all times,Plaza,,,No,Yes,Yes,Indirect,,1965,,Y,Y,This open space is elevated with the street slope. A large art piece represents one entrance to the open space on California Street. This space surrounds the building and offers seating on the ledges of planter boxes.,N,Open At All Times,No,Yes,,0241,025,0241025,true,,,67,POINT (-122.4052002 37.79305037),104,6,3,6,10,3,1,28857,104
Foundry Square NW,500 Howard St,Open at all times,Plaza,"8 trees, palm plant planters,","44 linear seating on ledges, 21 seating on planter box, 7 tables 28 chairs",Yes,Yes,No,Direct,Corner of 1st and Howard,2003,,Y,Y,"This is one of three plazas on the 1st and Howard intersection, forming Foundry Square. This space features a sculpture, landscape, and seating near food services.",Y,Open At All Times,Yes,Location not publicly conspicuous,,3721,119,3721119,true,,,4,POINT (-122.39631 37.78854),32,1,10,8,9,12,2,28855,32
Gap Building,2 Folsom St,Open at all times,Urban Garden,Trees and plants,76 seats,No,Yes,No,Direct,In front of 2 Folsom,2001,,,Y,This is a large plaza with several seating areas. Art sculptures are featured along with diverse landscaping.,,Open At All Times,Yes,none,,3741,035,3741035,true,,,36,POINT (-122.3912118 37.79122985),108,1,10,8,9,6,2,28855,108
301 Howard St,301 Howard St,Open at all times,Urban Garden,,,,,,,,1981,,,,Landscaped seating area located kitty-corner to 301 Howard.,,Open At All Times,No,None,,,,,,,,49,POINT (-122.3942667 37.78968512),32,1,10,8,9,6,2,28855,32
1 Post St,1 Post St,,Snippet,,,,,,,,1969,,,,Snippets surrounding the hexagonal fence of Montgomery Bart Station sunken plaza. This space include concrete steps with some planter boxes.,,Open At All Times,No,,,,,,,,,64,POINT (-122.4026463 37.78862256),19,6,3,8,10,4,1,28854,19
55 Second St - B,55 Second St,"8AM - 6PM, M-F",Snippet,"Plants and trees, uses plant wall to shield users from underground parking entrance",Movable furniture removed; only ~100 ft. of planter ledge seating,No,No,Located on south side of building,13080,"The urban garden is at the end of Anthony street, at the Jessie Street entrance to the building",2002,,,Y,This space is located outside the rear entry of 55 Second Street. It has planter boxes that serve as seating throughout the plaza.,,Open Business Hours,Yes,"Yes, embedded within concrete bench next to Jessie Street entrance to historic building",,3708,096,3708096,true,,,19,POINT (-122.40011 37.78895),108,6,10,8,9,12,2,28855,108
180 Howard St,180 Howard St,"8AM - 6PM, M-F",Pedestrian Walkways,Trees and wall of planters with tall grass.,12 linear seats,Yes,No,No,Direct,,1980,,Y,,A cul-de-sac walkway with benches at the end.,,Open At All Times,No,None,,3717,020,3717020,true,,,51,POINT (-122.3922192 37.79073351),108,1,10,8,9,6,2,28855,108
611 Folsom St,611 Folsom St,Open at all times,Plaza,"7 trees, 6 bushes on sidewalk. Interesting architectural elements and unconventional use of brick.",>200' deep brick ledge seating,No,No,No,Direct,,1965,,,Y,"Brick plaza with some trees, artwork and seating on brick structures.",,Open At All Times,No,None,,3750,087,3750087,,,,68,POINT (-122.3967306 37.78516765),32,1,10,8,9,6,2,28856,32
1 Kearny St,1 Kearny St,"10AM-5PM, M-F",Sun Terrace,Hedges and other types of plants.,"10 6' benches, approximately 20 linear seats",No,No,Yes. Must present ID to guard in lobby to get bathroom key.,"Indirect. Must enter lobby, sign in, and take elevator to roof.",Rooftop (11th floor),,,,Y,This rooftop terrace has extensive views of Market St. as well as rooftop architecture of nearby buildings. Landscaping and bench seating support this space.,,Open Business Hours,Yes,"yes. Three signs: one in front window, one in elevator, and one on rooftop terrace.",,0312,031,0312031,true,,,17,POINT (-122.40376 37.78784),19,6,3,8,10,5,1,28857,19
100 1st St,100 1st St,"Ground level arcade space accessible at all times, Sun Terrace open during daylight hours.","Sun Terrace, Indoor Park, Snippet","Many trees and plants, water feature, fake grass for sitting.","52 movable seats at 10 tables plus numerous areas to sit along built-in benches and planters, grassy areas.",At ground level,Yes,No,"Indirect, ""grand"" staircase",Sun Terrace is on second floor above adjoining parking garage SE of main building. Ground level arcade is on Mission Street side.,1985,,Y,Y,"The large Sun Terrace features extensive landscaping and seating. Several art sculptures are featured, along with an elevated view of the street below. There is a 'grand' staircase (snippet) up to the Sun Terrace. Ground level arcade in front of building on Mission side features retail and eating/drinking establishments.",Y,Open At All Times,No,1 small one,,3721,001,3721001,true,,,32,POINT (-122.39797 37.7891),32,1,10,8,9,12,2,28855,32
343 Sansome,343 Sansome St,"10AM-5PM, M-F","View Terrace, Public Sitting Area","Abundant flower planters, 6 shading trees, interesting paving and art, great views","10 tables with 20 movable chairs, 48 linear bench seats",Food provided along Leidesdorff Street,Yes,Yes. Must ask lobby attendant for key,Indirect,"15th floor terrace, and on top of the ""old office tower"" (could be one and the same). Also behind the building Leidesdorff Street, the street is closed during lunch hours",1990,,Y,Y,"This fifteenth floor open space has excellent views of surrounding buildings and streets, as well as the San Francisco Bay. It has various types of seating and landscaping. It also has art in the form of a large sundial.",,Open Business Hours,Yes,"yes, at both entrances. It does not have features listed on the sign. Does have the logo.",,0239,020,0239020,true,,,12,POINT (-122.40146 37.79374),108,6,3,8,10,4,1,28860,108
